age,education,education-num,relationship,race,gender,hours-per-week,income
50-90, Some-college,9-10, Unmarried, White, Female,35-40,<50k
17-26, Some-college,9-10, Not-in-family, Asian-Pac-Islander, Female,1-35,<50k
33-41, Assoc-acdm,10-13, Unmarried, White, Female,35-40,<50k
33-41, Some-college,9-10, Husband, Black, Male,40-50,<50k
33-41, Assoc-voc,10-13, Unmarried, White, Male,35-40,<50k
41-50, HS-grad,1-9, Husband, White, Male,35-40,<50k
17-26, Bachelors,10-13, Own-child, White, Female,1-35,<50k
26-33, Masters,13-16, Husband, White, Male,50-99,>=50k
17-26, 9th,1-9, Own-child, Black, Female,35-40,<50k
50-90, Masters,13-16, Not-in-family, White, Female,35-40,<50k
50-90, Bachelors,10-13, Husband, Asian-Pac-Islander, Male,1-35,<50k
33-41, HS-grad,1-9, Own-child, White, Male,35-40,<50k
26-33, Some-college,9-10, Not-in-family, White, Female,40-50,<50k
17-26, HS-grad,1-9, Own-child, Amer-Indian-Eskimo, Male,35-40,<50k
26-33, Some-college,9-10, Wife, White, Female,35-40,<50k
33-41, Bachelors,10-13, Husband, White, Male,40-50,>=50k
26-33, 7th-8th,1-9, Not-in-family, White, Male,40-50,<50k
50-90, Bachelors,10-13, Not-in-family, White, Male,1-35,<50k
17-26, Some-college,9-10, Husband, White, Male,35-40,<50k
26-33, HS-grad,1-9, Husband, White, Male,1-35,>=50k
26-33, HS-grad,1-9, Not-in-family, White, Male,35-40,<50k
50-90, HS-grad,1-9, Other-relative, White, Male,35-40,<50k
26-33, 11th,1-9, Husband, White, Male,35-40,<50k
26-33, Bachelors,10-13, Husband, White, Male,35-40,>=50k
26-33, Some-college,9-10, Not-in-family, Black, Male,1-35,<50k
17-26, Assoc-voc,10-13, Other-relative, Black, Male,50-99,<50k
17-26, Some-college,9-10, Own-child, White, Female,1-35,<50k
17-26, HS-grad,1-9, Husband, White, Male,40-50,<50k
26-33, Some-college,9-10, Own-child, White, Female,1-35,<50k
17-26, HS-grad,1-9, Own-child, Black, Male,35-40,<50k
50-90, Prof-school,13-16, Husband, White, Male,40-50,>=50k
17-26, 12th,1-9, Own-child, White, Male,1-35,<50k
26-33, 10th,1-9, Husband, White, Male,35-40,<50k
33-41, HS-grad,1-9, Husband, White, Male,35-40,<50k
26-33, 11th,1-9, Unmarried, White, Male,35-40,<50k
33-41, Bachelors,10-13, Not-in-family, White, Male,35-40,<50k
17-26, Assoc-voc,10-13, Not-in-family, White, Male,35-40,<50k
50-90, Masters,13-16, Not-in-family, White, Female,35-40,<50k
41-50, HS-grad,1-9, Not-in-family, White, Female,35-40,<50k
26-33, Some-college,9-10, Husband, White, Male,35-40,<50k
50-90, HS-grad,1-9, Husband, White, Male,1-35,<50k
41-50, HS-grad,1-9, Husband, White, Male,35-40,<50k
33-41, Masters,13-16, Husband, White, Male,40-50,>=50k
17-26, 10th,1-9, Own-child, White, Male,1-35,<50k
41-50, Some-college,9-10, Husband, White, Male,35-40,<50k
17-26, HS-grad,1-9, Not-in-family, White, Male,35-40,<50k
41-50, HS-grad,1-9, Not-in-family, Other, Male,1-35,<50k
41-50, HS-grad,1-9, Husband, White, Male,35-40,<50k
17-26, HS-grad,1-9, Other-relative, White, Male,1-35,<50k
33-41, Assoc-voc,10-13, Not-in-family, White, Male,35-40,>=50k
26-33, Bachelors,10-13, Husband, White, Male,35-40,>=50k
26-33, Some-college,9-10, Husband, White, Male,50-99,>=50k
50-90, HS-grad,1-9, Husband, White, Male,40-50,<50k
50-90, 9th,1-9, Husband, White, Male,35-40,<50k
26-33, HS-grad,1-9, Husband, White, Male,50-99,<50k
26-33, Some-college,9-10, Own-child, White, Male,35-40,<50k
26-33, HS-grad,1-9, Husband, White, Male,50-99,<50k
33-41, Bachelors,10-13, Not-in-family, White, Male,50-99,<50k
50-90, Masters,13-16, Husband, White, Male,50-99,>=50k
33-41, Bachelors,10-13, Not-in-family, White, Female,50-99,<50k
33-41, Some-college,9-10, Husband, White, Male,50-99,>=50k
41-50, HS-grad,1-9, Husband, White, Male,35-40,<50k
50-90, 9th,1-9, Not-in-family, White, Female,35-40,<50k
26-33, Assoc-voc,10-13, Not-in-family, White, Male,50-99,<50k
41-50, Some-college,9-10, Not-in-family, White, Male,50-99,>=50k
26-33, Bachelors,10-13, Husband, White, Male,35-40,<50k
17-26, Prof-school,13-16, Husband, White, Male,50-99,>=50k
41-50, Some-college,9-10, Unmarried, Black, Female,35-40,<50k
26-33, HS-grad,1-9, Wife, White, Female,40-50,<50k
17-26, Some-college,9-10, Husband, White, Male,35-40,<50k
41-50, Some-college,9-10, Unmarried, White, Female,35-40,<50k
41-50, HS-grad,1-9, Unmarried, White, Female,35-40,<50k
33-41, 9th,1-9, Husband, White, Male,1-35,<50k
17-26, Some-college,9-10, Own-child, White, Female,35-40,<50k
26-33, Assoc-voc,10-13, Not-in-family, White, Male,35-40,<50k
17-26, Some-college,9-10, Unmarried, Black, Female,35-40,<50k
17-26, Some-college,9-10, Own-child, White, Female,1-35,<50k
50-90, Bachelors,10-13, Husband, White, Male,1-35,>=50k
50-90, Bachelors,10-13, Husband, White, Male,1-35,<50k
17-26, HS-grad,1-9, Unmarried, Black, Female,35-40,<50k
33-41, HS-grad,1-9, Wife, White, Female,1-35,>=50k
41-50, Masters,13-16, Not-in-family, White, Female,50-99,>=50k
26-33, 11th,1-9, Not-in-family, White, Male,50-99,<50k
33-41, Bachelors,10-13, Husband, White, Male,40-50,>=50k
50-90, HS-grad,1-9, Husband, White, Male,35-40,<50k
17-26, Some-college,9-10, Not-in-family, White, Female,35-40,<50k
50-90, HS-grad,1-9, Husband, White, Male,40-50,<50k
41-50, Masters,13-16, Unmarried, White, Female,35-40,<50k
26-33, HS-grad,1-9, Unmarried, White, Female,50-99,>=50k
50-90, Assoc-acdm,10-13, Husband, White, Male,35-40,<50k
17-26, 10th,1-9, Unmarried, Black, Female,35-40,<50k
41-50, Masters,13-16, Wife, White, Female,1-35,>=50k
41-50, Bachelors,10-13, Husband, White, Male,40-50,>=50k
41-50, Some-college,9-10, Not-in-family, White, Female,40-50,<50k
50-90, 11th,1-9, Husband, White, Male,35-40,<50k
33-41, Some-college,9-10, Husband, White, Male,40-50,>=50k
41-50, Some-college,9-10, Husband, White, Male,35-40,<50k
26-33, HS-grad,1-9, Other-relative, White, Female,35-40,<50k
33-41, Assoc-acdm,10-13, Husband, White, Male,50-99,>=50k
33-41, HS-grad,1-9, Unmarried, White, Female,35-40,<50k
50-90, HS-grad,1-9, Husband, White, Male,35-40,<50k
26-33, Some-college,9-10, Not-in-family, White, Female,40-50,<50k
17-26, 9th,1-9, Own-child, White, Male,35-40,<50k
26-33, Some-college,9-10, Husband, White, Male,50-99,<50k
17-26, HS-grad,1-9, Own-child, White, Male,35-40,<50k
17-26, Bachelors,10-13, Unmarried, Black, Female,1-35,<50k
50-90, 11th,1-9, Husband, White, Male,35-40,<50k
33-41, Assoc-voc,10-13, Husband, White, Male,35-40,<50k
33-41, Some-college,9-10, Unmarried, White, Male,35-40,<50k
17-26, Bachelors,10-13, Not-in-family, White, Male,35-40,<50k
17-26, Assoc-voc,10-13, Own-child, White, Female,50-99,<50k
33-41, HS-grad,1-9, Own-child, Amer-Indian-Eskimo, Male,40-50,<50k
26-33, 10th,1-9, Husband, White, Male,35-40,<50k
50-90, HS-grad,1-9, Wife, White, Female,40-50,<50k
41-50, Some-college,9-10, Husband, White, Male,40-50,<50k
26-33, Some-college,9-10, Unmarried, Black, Male,35-40,<50k
33-41, HS-grad,1-9, Husband, White, Male,40-50,>=50k
41-50, Assoc-voc,10-13, Unmarried, White, Female,50-99,>=50k
41-50, Bachelors,10-13, Husband, White, Male,35-40,>=50k
33-41, Bachelors,10-13, Husband, White, Male,50-99,>=50k
50-90, Bachelors,10-13, Husband, White, Male,50-99,>=50k
41-50, 10th,1-9, Own-child, White, Female,40-50,<50k
50-90, HS-grad,1-9, Husband, White, Male,40-50,<50k
26-33, Bachelors,10-13, Husband, White, Male,50-99,>=50k
17-26, 10th,1-9, Own-child, White, Male,35-40,<50k
33-41, HS-grad,1-9, Not-in-family, White, Female,1-35,<50k
41-50, HS-grad,1-9, Husband, White, Male,35-40,>=50k
50-90, HS-grad,1-9, Unmarried, White, Female,1-35,<50k
50-90, HS-grad,1-9, Not-in-family, Other, Female,1-35,<50k
33-41, Bachelors,10-13, Unmarried, White, Female,40-50,<50k
33-41, Some-college,9-10, Not-in-family, White, Male,35-40,<50k
41-50, Some-college,9-10, Unmarried, Black, Female,1-35,<50k
26-33, Masters,13-16, Husband, Asian-Pac-Islander, Male,40-50,>=50k
33-41, HS-grad,1-9, Own-child, White, Female,35-40,>=50k
50-90, Masters,13-16, Husband, White, Male,40-50,>=50k
50-90, Some-college,9-10, Not-in-family, White, Male,1-35,<50k
33-41, HS-grad,1-9, Husband, White, Male,35-40,<50k
26-33, HS-grad,1-9, Unmarried, White, Female,35-40,<50k
33-41, Bachelors,10-13, Not-in-family, White, Male,40-50,<50k
41-50, Bachelors,10-13, Not-in-family, White, Male,50-99,>=50k
26-33, 11th,1-9, Own-child, Black, Male,35-40,<50k
26-33, Bachelors,10-13, Husband, White, Male,50-99,>=50k
50-90, 10th,1-9, Not-in-family, White, Male,50-99,<50k
33-41, HS-grad,1-9, Own-child, Black, Female,35-40,<50k
33-41, Assoc-voc,10-13, Husband, White, Male,35-40,>=50k
50-90, HS-grad,1-9, Not-in-family, Black, Male,35-40,<50k
41-50, HS-grad,1-9, Husband, White, Male,1-35,<50k
50-90, 7th-8th,1-9, Husband, White, Male,35-40,<50k
26-33, Masters,13-16, Husband, White, Male,35-40,>=50k
17-26, HS-grad,1-9, Own-child, White, Male,35-40,<50k
26-33, Bachelors,10-13, Not-in-family, White, Female,35-40,<50k
17-26, HS-grad,1-9, Not-in-family, White, Female,1-35,<50k
17-26, Some-college,9-10, Own-child, White, Male,35-40,<50k
50-90, Masters,13-16, Not-in-family, White, Male,1-35,<50k
17-26, Some-college,9-10, Own-child, White, Male,1-35,<50k
50-90, 7th-8th,1-9, Husband, White, Male,1-35,<50k
26-33, HS-grad,1-9, Own-child, White, Male,40-50,<50k
33-41, Some-college,9-10, Not-in-family, White, Male,50-99,<50k
41-50, HS-grad,1-9, Husband, Amer-Indian-Eskimo, Male,50-99,<50k
41-50, Masters,13-16, Unmarried, White, Female,35-40,>=50k
33-41, Some-college,9-10, Husband, White, Male,35-40,<50k
33-41, HS-grad,1-9, Not-in-family, White, Male,40-50,<50k
33-41, HS-grad,1-9, Not-in-family, Asian-Pac-Islander, Female,50-99,>=50k
17-26, HS-grad,1-9, Not-in-family, Black, Female,35-40,<50k
17-26, 11th,1-9, Own-child, White, Female,1-35,<50k
26-33, 11th,1-9, Unmarried, White, Female,1-35,<50k
33-41, Masters,13-16, Husband, White, Male,35-40,>=50k
33-41, Bachelors,10-13, Husband, White, Male,35-40,>=50k
41-50, Some-college,9-10, Not-in-family, Black, Female,35-40,<50k
17-26, Assoc-acdm,10-13, Own-child, White, Male,35-40,<50k
41-50, Some-college,9-10, Wife, White, Female,35-40,>=50k
33-41, Assoc-acdm,10-13, Husband, White, Male,40-50,>=50k
17-26, Some-college,9-10, Not-in-family, White, Female,1-35,<50k
33-41, Masters,13-16, Husband, White, Male,35-40,>=50k
41-50, Bachelors,10-13, Not-in-family, White, Male,40-50,<50k
17-26, Some-college,9-10, Not-in-family, White, Male,50-99,<50k
41-50, 11th,1-9, Unmarried, Amer-Indian-Eskimo, Male,35-40,>=50k
33-41, Some-college,9-10, Not-in-family, White, Male,40-50,<50k
33-41, 1st-4th,1-9, Husband, White, Male,35-40,<50k
17-26, 10th,1-9, Own-child, White, Male,1-35,<50k
50-90, Some-college,9-10, Husband, White, Male,35-40,>=50k
41-50, HS-grad,1-9, Wife, White, Female,1-35,>=50k
33-41, Masters,13-16, Husband, White, Male,35-40,>=50k
26-33, Bachelors,10-13, Not-in-family, White, Female,50-99,>=50k
17-26, Bachelors,10-13, Not-in-family, White, Male,35-40,<50k
50-90, 7th-8th,1-9, Unmarried, White, Female,35-40,<50k
17-26, HS-grad,1-9, Own-child, White, Male,35-40,<50k
33-41, HS-grad,1-9, Husband, Amer-Indian-Eskimo, Male,40-50,<50k
50-90, Bachelors,10-13, Husband, White, Male,35-40,>=50k
41-50, HS-grad,1-9, Husband, White, Male,35-40,<50k
26-33, Bachelors,10-13, Not-in-family, White, Female,35-40,>=50k
26-33, HS-grad,1-9, Husband, White, Male,35-40,>=50k
50-90, Bachelors,10-13, Husband, White, Male,35-40,>=50k
33-41, 9th,1-9, Unmarried, Black, Male,35-40,<50k
50-90, Masters,13-16, Husband, White, Male,35-40,>=50k
50-90, HS-grad,1-9, Husband, White, Male,35-40,<50k
26-33, Some-college,9-10, Wife, White, Female,35-40,>=50k
41-50, Doctorate,13-16, Unmarried, Amer-Indian-Eskimo, Female,35-40,<50k
26-33, Masters,13-16, Husband, White, Male,40-50,>=50k
17-26, 10th,1-9, Own-child, White, Male,1-35,<50k
50-90, Bachelors,10-13, Not-in-family, White, Male,40-50,<50k
17-26, 9th,1-9, Husband, White, Male,35-40,<50k
50-90, Bachelors,10-13, Husband, White, Male,40-50,>=50k
41-50, HS-grad,1-9, Not-in-family, White, Female,35-40,<50k
50-90, Some-college,9-10, Not-in-family, White, Female,1-35,<50k
17-26, Bachelors,10-13, Not-in-family, White, Female,35-40,<50k
33-41, Masters,13-16, Not-in-family, White, Female,35-40,<50k
50-90, Masters,13-16, Not-in-family, White, Female,35-40,<50k
50-90, 9th,1-9, Husband, White, Male,35-40,<50k
