age,education,education-num,relationship,race,gender,capital-gain,hours-per-week,income
51, Some-college,10, Husband, White, Male,0,40,1
27, Bachelors,13, Not-in-family, White, Male,0,50,0
28, Bachelors,13, Husband, White, Male,0,40,1
27, HS-grad,9, Unmarried, White, Female,0,25,0
21, HS-grad,9, Own-child, Black, Male,0,40,0
34, HS-grad,9, Not-in-family, Black, Male,0,40,0
18, HS-grad,9, Own-child, White, Male,0,12,0
33, Bachelors,13, Husband, White, Male,0,65,0
44, Some-college,10, Husband, Black, Male,0,38,1
43, Some-college,10, Not-in-family, White, Female,0,40,0
30, Some-college,10, Not-in-family, Black, Male,0,45,0
40, 7th-8th,4, Husband, White, Male,0,40,1
37, Some-college,10, Husband, White, Male,0,42,1
34, HS-grad,9, Husband, Black, Male,0,40,0
41, Bachelors,13, Not-in-family, White, Female,0,40,0
53, Bachelors,13, Not-in-family, White, Female,0,50,0
31, Masters,14, Wife, White, Female,0,50,0
58, Doctorate,16, Husband, White, Male,0,1,1
38, Some-college,10, Not-in-family, Black, Female,0,28,0
24, Some-college,10, Husband, White, Male,0,40,0
41, Bachelors,13, Husband, Black, Male,0,40,0
47, Some-college,10, Husband, White, Male,0,45,0
41, Bachelors,13, Husband, White, Male,0,24,0
23, 5th-6th,3, Other-relative, White, Male,0,40,0
36, Some-college,10, Not-in-family, White, Male,0,40,0
40, Masters,14, Not-in-family, White, Female,14084,55,1
35, Masters,14, Other-relative, White, Male,7298,40,1
24, HS-grad,9, Not-in-family, White, Male,0,40,0
26, Masters,14, Not-in-family, White, Female,0,40,0
19, HS-grad,9, Own-child, White, Male,0,40,0
51, Bachelors,13, Husband, White, Male,0,50,1
42, Some-college,10, Not-in-family, White, Female,0,40,0
37, HS-grad,9, Unmarried, White, Female,0,35,0
18, 11th,7, Own-child, White, Female,0,40,0
36, Bachelors,13, Husband, Black, Male,7298,36,1
35, HS-grad,9, Not-in-family, White, Male,0,60,0
58, HS-grad,9, Wife, White, Female,15024,35,1
17, 11th,7, Own-child, White, Female,0,12,0
44, HS-grad,9, Husband, Black, Male,0,40,0
37, HS-grad,9, Husband, White, Male,0,40,1
35, Some-college,10, Not-in-family, Amer-Indian-Eskimo, Female,0,40,0
60, HS-grad,9, Husband, Asian-Pac-Islander, Male,0,40,0
54, 7th-8th,4, Husband, White, Male,0,40,1
37, Bachelors,13, Not-in-family, Black, Male,0,60,1
50, Assoc-acdm,12, Not-in-family, White, Female,0,40,0
38, Bachelors,13, Husband, White, Male,0,50,0
45, Bachelors,13, Husband, White, Male,0,55,0
25, 10th,6, Not-in-family, White, Male,0,40,0
31, Some-college,10, Husband, White, Male,0,40,0
64, 1st-4th,2, Not-in-family, White, Male,0,40,0
90, HS-grad,9, Not-in-family, Black, Male,0,40,0
54, HS-grad,9, Husband, Black, Male,0,20,0
53, Preschool,1, Not-in-family, White, Female,0,35,0
18, HS-grad,9, Own-child, White, Female,0,40,0
60, 10th,6, Not-in-family, Amer-Indian-Eskimo, Female,0,10,0
66, HS-grad,9, Husband, White, Male,1409,50,0
75, Assoc-voc,11, Not-in-family, White, Female,0,20,0
65, HS-grad,9, Not-in-family, White, Female,0,40,0
35, 11th,7, Not-in-family, Black, Male,3674,40,0
41, HS-grad,9, Unmarried, Black, Female,0,38,0
25, Some-college,10, Not-in-family, White, Male,0,42,0
33, Some-college,10, Other-relative, Other, Female,0,40,0
28, Prof-school,15, Not-in-family, White, Male,0,55,1
59, HS-grad,9, Husband, White, Male,0,40,0
40, Some-college,10, Not-in-family, White, Female,0,38,0
41, Bachelors,13, Husband, White, Male,0,50,1
38, Masters,14, Husband, White, Male,0,70,1
23, HS-grad,9, Own-child, White, Male,0,40,0
40, Bachelors,13, Husband, White, Male,0,40,1
41, HS-grad,9, Wife, White, Female,0,20,0
24, Assoc-acdm,12, Husband, White, Male,0,50,0
20, Some-college,10, Own-child, White, Male,0,20,0
38, Some-college,10, Not-in-family, White, Male,0,40,0
56, HS-grad,9, Husband, White, Male,0,35,0
58, HS-grad,9, Husband, White, Male,0,45,1
32, HS-grad,9, Not-in-family, White, Female,0,34,0
40, Assoc-acdm,12, Husband, White, Male,0,60,1
45, HS-grad,9, Husband, White, Male,0,40,0
41, Prof-school,15, Wife, White, Female,0,40,1
42, Bachelors,13, Wife, Black, Female,0,40,0
59, 10th,6, Unmarried, Black, Female,0,30,0
19, Some-college,10, Own-child, White, Male,0,40,0
58, Some-college,10, Not-in-family, White, Male,0,20,0
42, HS-grad,9, Husband, Asian-Pac-Islander, Male,0,40,1
20, HS-grad,9, Own-child, White, Female,0,40,0
32, HS-grad,9, Not-in-family, White, Female,0,30,0
45, Assoc-voc,11, Not-in-family, White, Female,0,45,0
50, 7th-8th,4, Not-in-family, White, Male,0,40,0
36, Bachelors,13, Own-child, White, Female,0,40,0
45, HS-grad,9, Husband, White, Male,0,60,0
17, 11th,7, Own-child, White, Male,0,12,0
59, Some-college,10, Husband, White, Male,4064,40,0
26, 11th,7, Husband, White, Male,0,40,0
37, Some-college,10, Husband, Asian-Pac-Islander, Male,0,75,1
19, Some-college,10, Own-child, White, Male,0,24,0
64, HS-grad,9, Husband, White, Male,0,40,1
33, Bachelors,13, Not-in-family, White, Female,0,45,0
33, HS-grad,9, Wife, White, Female,0,40,1
61, HS-grad,9, Husband, White, Male,0,40,1
17, 9th,5, Own-child, White, Male,1055,24,0
50, Masters,14, Husband, White, Male,2407,98,0
27, Masters,14, Own-child, White, Male,0,35,0
30, HS-grad,9, Own-child, White, Female,0,40,0
43, HS-grad,9, Husband, Black, Male,0,40,0
44, Some-college,10, Husband, White, Male,7298,40,1
35, Some-college,10, Not-in-family, White, Female,0,40,0
25, Some-college,10, Own-child, White, Female,0,40,0
24, Some-college,10, Wife, White, Female,7298,48,1
22, Bachelors,13, Not-in-family, White, Female,0,15,0
42, Some-college,10, Husband, White, Male,5178,40,1
34, Assoc-acdm,12, Unmarried, Black, Female,0,45,0
60, Bachelors,13, Not-in-family, White, Female,0,42,0
21, HS-grad,9, Own-child, White, Male,0,40,0
57, Masters,14, Husband, White, Male,15024,40,1
41, Prof-school,15, Husband, White, Male,0,60,1
50, Some-college,10, Not-in-family, White, Male,0,45,0
25, Bachelors,13, Not-in-family, White, Female,0,40,0
50, 7th-8th,4, Husband, White, Male,0,40,0
36, Bachelors,13, Husband, White, Male,0,45,0
31, HS-grad,9, Not-in-family, White, Female,0,40,0
29, Bachelors,13, Not-in-family, White, Male,0,56,0
21, Some-college,10, Own-child, White, Male,0,45,0
27, Bachelors,13, Unmarried, Black, Female,0,40,0
65, HS-grad,9, Husband, White, Male,0,16,0
37, Bachelors,13, Not-in-family, White, Female,0,60,0
39, Masters,14, Wife, Asian-Pac-Islander, Female,3464,40,0
24, HS-grad,9, Own-child, White, Male,0,40,0
38, HS-grad,9, Not-in-family, White, Male,0,80,0
48, Bachelors,13, Husband, White, Male,7688,40,1
21, Some-college,10, Not-in-family, Asian-Pac-Islander, Female,0,25,0
31, HS-grad,9, Husband, White, Male,0,45,1
55, HS-grad,9, Husband, White, Male,4386,40,1
24, Some-college,10, Wife, Asian-Pac-Islander, Female,0,40,0
43, HS-grad,9, Not-in-family, White, Female,0,40,0
26, Assoc-acdm,12, Not-in-family, White, Male,0,45,0
46, Assoc-acdm,12, Not-in-family, White, Female,0,33,0
35, Assoc-acdm,12, Husband, White, Male,0,40,1
41, Some-college,10, Husband, White, Male,0,54,1
26, Bachelors,13, Not-in-family, White, Male,0,40,0
34, Masters,14, Husband, Asian-Pac-Islander, Male,7298,35,1
19, Some-college,10, Own-child, Black, Female,0,25,0
36, Bachelors,13, Not-in-family, Black, Female,0,40,1
22, Some-college,10, Own-child, White, Male,0,15,0
24, Some-college,10, Not-in-family, White, Male,0,40,0
77, Some-college,10, Husband, White, Male,0,40,0
22, 5th-6th,3, Other-relative, White, Female,0,40,0
29, Some-college,10, Not-in-family, White, Female,0,40,0
62, HS-grad,9, Not-in-family, White, Female,0,24,0
39, HS-grad,9, Husband, White, Male,0,40,0
43, Some-college,10, Husband, White, Male,0,50,0
35, HS-grad,9, Not-in-family, White, Male,0,45,0
29, 11th,7, Not-in-family, White, Female,0,40,0
76, Masters,14, Husband, White, Male,0,10,0
63, HS-grad,9, Husband, White, Male,0,45,0
23, Assoc-voc,11, Own-child, Black, Female,0,15,0
43, Some-college,10, Wife, White, Female,0,50,1
58, HS-grad,9, Husband, White, Male,0,40,0
66, HS-grad,9, Not-in-family, White, Male,2050,55,0
41, Some-college,10, Not-in-family, Black, Male,0,45,0
26, Bachelors,13, Not-in-family, White, Male,0,40,0
47, Assoc-voc,11, Not-in-family, White, Male,0,40,0
55, 10th,6, Husband, White, Male,0,40,0
53, HS-grad,9, Husband, White, Male,0,40,0
17, 5th-6th,3, Other-relative, White, Male,0,48,0
30, HS-grad,9, Other-relative, White, Male,0,40,0
49, Masters,14, Not-in-family, White, Male,0,60,0
19, HS-grad,9, Unmarried, Black, Male,0,30,0
45, HS-grad,9, Husband, Black, Male,0,40,0
26, Assoc-acdm,12, Not-in-family, White, Male,0,40,0
38, Assoc-voc,11, Husband, White, Male,7298,40,1
36, HS-grad,9, Husband, White, Male,7298,40,1
33, HS-grad,9, Not-in-family, White, Male,0,20,0
22, Some-college,10, Own-child, Black, Female,0,40,0
43, Bachelors,13, Not-in-family, White, Male,0,42,0
67, 11th,7, Husband, White, Male,0,8,0
30, Assoc-voc,11, Unmarried, White, Female,0,40,0
56, Assoc-acdm,12, Not-in-family, White, Male,0,25,0
31, Bachelors,13, Own-child, White, Male,0,25,0
33, Bachelors,13, Husband, White, Male,0,40,1
26, HS-grad,9, Husband, White, Male,0,40,0
33, Bachelors,13, Husband, White, Male,0,40,1
46, 11th,7, Husband, White, Male,0,30,0
59, Bachelors,13, Husband, White, Male,0,40,1
38, HS-grad,9, Husband, White, Male,0,40,1
65, 11th,7, Unmarried, Other, Male,0,40,0
40, Assoc-voc,11, Husband, White, Male,0,40,1
42, HS-grad,9, Wife, White, Female,0,35,0
26, 9th,5, Husband, White, Male,0,40,0
36, 10th,6, Wife, White, Female,0,24,0
62, Masters,14, Husband, White, Male,0,40,1
43, Bachelors,13, Husband, White, Male,0,45,0
43, Bachelors,13, Not-in-family, White, Male,0,45,1
22, HS-grad,9, Not-in-family, White, Male,0,55,0
28, HS-grad,9, Husband, White, Male,0,40,0
56, Some-college,10, Husband, White, Male,0,45,0
22, Assoc-acdm,12, Not-in-family, White, Female,0,15,0
57, Bachelors,13, Not-in-family, White, Female,0,45,1
39, HS-grad,9, Unmarried, White, Female,0,40,0
26, Some-college,10, Unmarried, White, Female,0,15,0
17, 11th,7, Own-child, White, Male,0,10,0
40, Assoc-voc,11, Husband, White, Male,0,38,1
45, HS-grad,9, Husband, Black, Male,0,40,0
44, HS-grad,9, Not-in-family, Black, Male,0,40,0
20, Some-college,10, Own-child, White, Female,0,10,0
33, HS-grad,9, Wife, White, Female,0,40,0
23, Some-college,10, Not-in-family, White, Male,0,40,0
46, Masters,14, Not-in-family, White, Male,0,30,0
38, HS-grad,9, Husband, White, Male,0,50,0
54, HS-grad,9, Not-in-family, White, Male,0,40,0
46, 5th-6th,3, Not-in-family, White, Female,0,45,0
25, Some-college,10, Husband, White, Male,0,40,0
46, Some-college,10, Not-in-family, White, Female,0,40,0
36, Some-college,10, Wife, White, Female,0,40,0
23, HS-grad,9, Not-in-family, White, Female,0,25,0
29, HS-grad,9, Not-in-family, White, Male,0,40,0
44, Some-college,10, Wife, White, Female,0,6,1
19, Some-college,10, Own-child, White, Female,0,16,0
19, HS-grad,9, Other-relative, White, Female,0,40,0
35, HS-grad,9, Wife, White, Female,0,40,1
27, Bachelors,13, Not-in-family, White, Male,0,50,0
46, Assoc-acdm,12, Not-in-family, White, Male,0,40,0
34, Bachelors,13, Husband, White, Male,7688,45,1
34, HS-grad,9, Not-in-family, White, Female,0,35,0
44, Some-college,10, Husband, White, Male,0,40,0
45, Some-college,10, Unmarried, White, Female,0,40,0
20, HS-grad,9, Other-relative, White, Female,0,35,0
25, Bachelors,13, Husband, White, Male,0,55,1
52, Bachelors,13, Husband, White, Male,0,50,1
20, Some-college,10, Own-child, White, Male,0,40,0
28, Some-college,10, Not-in-family, White, Female,0,40,0
50, Bachelors,13, Husband, White, Male,0,40,1
34, Assoc-voc,11, Not-in-family, White, Female,0,64,0
28, 7th-8th,4, Husband, Other, Male,0,40,0
41, Masters,14, Husband, White, Male,0,65,1
28, HS-grad,9, Husband, White, Male,0,40,0
46, HS-grad,9, Husband, White, Male,0,25,0
28, Some-college,10, Wife, White, Female,0,40,1
32, Some-college,10, Husband, White, Male,0,50,0
41, Some-college,10, Not-in-family, Black, Female,0,24,0
24, HS-grad,9, Unmarried, Black, Female,0,40,0
33, Some-college,10, Unmarried, White, Female,0,40,0
46, Doctorate,16, Husband, White, Male,15024,60,1
31, Some-college,10, Husband, White, Male,0,40,0
35, 12th,8, Not-in-family, White, Male,0,50,1
52, 1st-4th,2, Husband, White, Male,0,40,0
30, 11th,7, Own-child, White, Female,0,19,0
34, 11th,7, Not-in-family, Black, Male,0,40,0
34, HS-grad,9, Unmarried, White, Female,0,40,0
20, Some-college,10, Husband, White, Male,0,30,0
17, 11th,7, Own-child, White, Male,2176,18,0
32, Bachelors,13, Wife, White, Female,0,40,1
29, HS-grad,9, Not-in-family, White, Male,0,40,0
33, 10th,6, Unmarried, White, Female,0,35,0
25, HS-grad,9, Husband, White, Male,0,60,0
36, Masters,14, Not-in-family, White, Male,0,40,0
23, HS-grad,9, Not-in-family, White, Male,0,72,0
63, HS-grad,9, Husband, White, Male,0,40,1
47, Masters,14, Husband, White, Male,0,40,0
80, HS-grad,9, Not-in-family, White, Male,0,24,0
17, 11th,7, Own-child, White, Male,0,40,0
40, Bachelors,13, Not-in-family, White, Female,2174,40,0
30, Assoc-acdm,12, Wife, White, Female,0,25,1
27, Some-college,10, Own-child, Asian-Pac-Islander, Male,0,40,0
33, Masters,14, Husband, White, Male,0,50,1
34, HS-grad,9, Not-in-family, Black, Male,594,60,0
34, Some-college,10, Not-in-family, White, Female,0,40,0
23, Some-college,10, Husband, White, Male,0,40,0
42, Some-college,10, Wife, White, Female,0,40,0
29, Bachelors,13, Not-in-family, White, Male,0,40,0
45, HS-grad,9, Not-in-family, White, Female,0,28,0
24, HS-grad,9, Own-child, White, Male,0,40,0
44, Some-college,10, Husband, White, Male,0,40,1
27, 9th,5, Other-relative, White, Male,0,40,0
20, Some-college,10, Not-in-family, White, Male,0,35,0
44, HS-grad,9, Unmarried, Black, Female,0,40,0
51, HS-grad,9, Husband, Amer-Indian-Eskimo, Male,0,40,0
20, HS-grad,9, Husband, White, Male,0,40,0
17, 11th,7, Own-child, White, Female,0,5,0
19, HS-grad,9, Own-child, Black, Female,0,40,0
45, Some-college,10, Husband, White, Male,0,55,1
60, HS-grad,9, Husband, White, Male,0,40,1
42, Assoc-acdm,12, Husband, Black, Male,0,40,1
44, HS-grad,9, Wife, White, Female,0,40,1
40, Assoc-voc,11, Husband, Asian-Pac-Islander, Male,0,40,1
30, HS-grad,9, Wife, White, Female,0,40,0
38, Some-college,10, Husband, Black, Male,0,50,0
23, HS-grad,9, Husband, White, Male,0,60,0
32, Some-college,10, Husband, White, Male,0,40,0
44, Assoc-acdm,12, Own-child, White, Male,0,40,0
54, HS-grad,9, Husband, Black, Male,0,40,0
32, Bachelors,13, Husband, White, Male,0,50,0
50, 1st-4th,2, Unmarried, White, Male,0,40,0
24, Bachelors,13, Not-in-family, White, Female,0,20,0
37, HS-grad,9, Wife, White, Female,0,60,0
52, HS-grad,9, Unmarried, White, Male,0,40,0
38, Some-college,10, Husband, White, Male,0,40,0
49, Masters,14, Husband, White, Male,0,45,1
30, Bachelors,13, Wife, White, Female,0,16,1
60, Some-college,10, Unmarried, White, Male,0,40,1
22, Some-college,10, Own-child, White, Male,0,40,0
35, HS-grad,9, Not-in-family, White, Male,0,40,0
30, HS-grad,9, Not-in-family, White, Male,0,60,0
67, Assoc-voc,11, Not-in-family, White, Female,0,24,0
46, Bachelors,13, Not-in-family, White, Female,0,40,0
17, 9th,5, Not-in-family, White, Male,0,6,0
22, Some-college,10, Own-child, White, Male,0,30,0
27, 10th,6, Not-in-family, White, Male,0,40,0
23, HS-grad,9, Unmarried, White, Female,0,35,0
33, Assoc-acdm,12, Husband, White, Male,0,45,0
43, Some-college,10, Husband, White, Male,0,20,0
28, Bachelors,13, Not-in-family, White, Male,0,20,0
41, HS-grad,9, Unmarried, White, Female,0,40,0
52, 12th,8, Other-relative, Black, Male,594,40,0
25, Some-college,10, Own-child, Black, Female,0,20,0
63, 1st-4th,2, Husband, White, Male,0,35,0
59, HS-grad,9, Husband, White, Male,0,45,0
45, Bachelors,13, Unmarried, White, Female,0,40,0
38, Bachelors,13, Husband, White, Male,15024,60,1
40, HS-grad,9, Not-in-family, White, Female,0,35,0
46, HS-grad,9, Not-in-family, White, Male,0,40,0
35, Assoc-acdm,12, Not-in-family, White, Female,0,60,0
34, HS-grad,9, Unmarried, White, Female,0,25,0
33, Bachelors,13, Own-child, White, Male,0,20,0
41, HS-grad,9, Unmarried, White, Female,0,36,0
20, Some-college,10, Own-child, White, Male,0,40,0
23, 5th-6th,3, Own-child, White, Male,0,40,0
26, Some-college,10, Not-in-family, White, Female,0,35,0
72, HS-grad,9, Husband, White, Male,0,20,0
23, HS-grad,9, Not-in-family, White, Male,0,40,0
62, HS-grad,9, Husband, White, Male,0,40,0
52, Some-college,10, Husband, White, Male,0,40,0
58, Some-college,10, Unmarried, White, Female,0,42,0
25, Bachelors,13, Not-in-family, White, Female,0,40,0
24, Bachelors,13, Not-in-family, Black, Male,0,40,0
19, Some-college,10, Own-child, White, Male,0,8,0
43, Some-college,10, Husband, White, Male,0,40,0
47, HS-grad,9, Unmarried, Black, Female,0,40,0
39, HS-grad,9, Unmarried, White, Female,0,40,0
49, Assoc-voc,11, Unmarried, White, Male,0,42,0
53, 5th-6th,3, Unmarried, Black, Female,0,30,0
32, Assoc-voc,11, Not-in-family, White, Male,0,45,0
34, Some-college,10, Husband, White, Male,0,50,1
28, HS-grad,9, Not-in-family, White, Male,0,45,0
57, Assoc-voc,11, Unmarried, White, Female,0,38,0
25, Some-college,10, Not-in-family, Amer-Indian-Eskimo, Female,0,20,0
20, Some-college,10, Own-child, White, Male,0,24,0
21, Some-college,10, Unmarried, White, Female,0,35,0
34, Bachelors,13, Husband, White, Male,0,50,1
38, Bachelors,13, Husband, White, Male,15024,80,1
50, HS-grad,9, Husband, White, Male,7688,50,1
24, Some-college,10, Not-in-family, Black, Male,0,50,0
